user,par,doi,rank
Don bright,418,0.643249239,1
Don bright,417,0.621650327,2
Don bright,424,0.600051415,3
Don bright,419,0.600051415,4
Don bright,416,0.600051415,5
Don bright,508,0.593244954,6
Don bright,524,0.571646042,7
Don bright,517,0.571646042,8
Don bright,509,0.571646042,9
Don bright,507,0.571646042,10
Don bright,502,0.571646042,11
Don bright,501,0.571646042,12
Don bright,485,0.571646042,13
Don bright,471,0.55004713,14
Don bright,469,0.55004713,15
Don bright,468,0.55004713,16
Don bright,458,0.55004713,17
Don bright,423,0.55004713,18
Don bright,421,0.55004713,19
Don bright,610,0.280785858,20
Don bright,557,0.280785858,21
Don bright,567,0.259186946,22
Don bright,512,0.237588034,23
Don bright,510,0.237588034,24
Don bright,498,0.237588034,25
Don bright,497,0.237588034,26
Don bright,489,0.237588034,27
Don bright,487,0.237588034,28
Don bright,438,0.237588034,29
Don bright,673,0,30
Don bright,667,0,31
Don bright,665,0,32
Don bright,660,0,33
Don bright,659,0,34
Don bright,658,0,35
Don bright,657,0,36
Don bright,656,0,37
Don bright,655,0,38
Don bright,654,0,39
Don bright,653,0,40
Don bright,652,0,41
Don bright,651,0,42
Don bright,649,0,43
Don bright,648,0,44
Don bright,647,0,45
Don bright,646,0,46
Don bright,644,0,47
Don bright,643,0,48
Don bright,642,0,49
Don bright,641,0,50
Don bright,640,0,51
Don bright,639,0,52
Don bright,638,0,53
Don bright,637,0,54
Don bright,636,0,55
Don bright,635,0,56
Don bright,462,0,57
4.54.210.xxx,418,0.193210678,1
4.54.210.xxx,417,0.171611766,2
4.54.210.xxx,424,0.150012854,3
4.54.210.xxx,419,0.150012854,4
4.54.210.xxx,416,0.150012854,5
4.54.210.xxx,508,0.143206393,6
4.54.210.xxx,524,0.121607481,7
4.54.210.xxx,517,0.121607481,8
4.54.210.xxx,509,0.121607481,9
4.54.210.xxx,507,0.121607481,10
4.54.210.xxx,502,0.121607481,11
4.54.210.xxx,501,0.121607481,12
4.54.210.xxx,485,0.121607481,13
4.54.210.xxx,471,0.100008569,14
4.54.210.xxx,469,0.100008569,15
4.54.210.xxx,468,0.100008569,16
4.54.210.xxx,458,0.100008569,17
4.54.210.xxx,423,0.100008569,18
4.54.210.xxx,421,0.100008569,19
4.54.210.xxx,610,0.086395649,20
4.54.210.xxx,557,0.086395649,21
4.54.210.xxx,567,0.064796737,22
4.54.210.xxx,512,0.043197824,23
4.54.210.xxx,510,0.043197824,24
4.54.210.xxx,498,0.043197824,25
4.54.210.xxx,497,0.043197824,26
4.54.210.xxx,489,0.043197824,27
4.54.210.xxx,487,0.043197824,28
4.54.210.xxx,438,0.043197824,29
4.54.210.xxx,673,0,30
4.54.210.xxx,667,0,31
4.54.210.xxx,665,0,32
4.54.210.xxx,660,0,33
4.54.210.xxx,659,0,34
4.54.210.xxx,658,0,35
4.54.210.xxx,657,0,36
4.54.210.xxx,656,0,37
4.54.210.xxx,655,0,38
4.54.210.xxx,654,0,39
4.54.210.xxx,653,0,40
4.54.210.xxx,652,0,41
4.54.210.xxx,651,0,42
4.54.210.xxx,649,0,43
4.54.210.xxx,648,0,44
4.54.210.xxx,647,0,45
4.54.210.xxx,646,0,46
4.54.210.xxx,644,0,47
4.54.210.xxx,643,0,48
4.54.210.xxx,642,0,49
4.54.210.xxx,641,0,50
4.54.210.xxx,640,0,51
4.54.210.xxx,639,0,52
4.54.210.xxx,638,0,53
4.54.210.xxx,637,0,54
4.54.210.xxx,636,0,55
4.54.210.xxx,635,0,56
4.54.210.xxx,462,0,57
208.144.114.xxx,418,0.193210678,1
208.144.114.xxx,417,0.171611766,2
208.144.114.xxx,424,0.150012854,3
208.144.114.xxx,419,0.150012854,4
208.144.114.xxx,416,0.150012854,5
208.144.114.xxx,508,0.143206393,6
208.144.114.xxx,524,0.121607481,7
208.144.114.xxx,517,0.121607481,8
208.144.114.xxx,509,0.121607481,9
208.144.114.xxx,507,0.121607481,10
208.144.114.xxx,502,0.121607481,11
208.144.114.xxx,501,0.121607481,12
208.144.114.xxx,485,0.121607481,13
208.144.114.xxx,471,0.100008569,14
208.144.114.xxx,469,0.100008569,15
208.144.114.xxx,468,0.100008569,16
208.144.114.xxx,458,0.100008569,17
208.144.114.xxx,423,0.100008569,18
208.144.114.xxx,421,0.100008569,19
208.144.114.xxx,610,0.086395649,20
208.144.114.xxx,557,0.086395649,21
208.144.114.xxx,567,0.064796737,22
208.144.114.xxx,512,0.043197824,23
